entry,name,signature,status,chunk
"1800056e0","SendpOutboundTCIRxIQ","undefined __fastcall SendpOutboundTCIRxIQ(undefined8 param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800056f0","SendpInboundTCITxAudio","undefined __fastcall SendpInboundTCITxAudio(undefined8 param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180005700","SetRXTCIRun","undefined __fastcall SetRXTCIRun(undefined4 param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180005710","SetTXTCIAudioRun","undefined __fastcall SetTXTCIAudioRun(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180005730","SetRunPanadapter","undefined __fastcall SetRunPanadapter(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180005750","SetXcmInrate","undefined __fastcall SetXcmInrate(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180005b60","SetCMAudioOutrate","undefined __fastcall SetCMAudioOutrate(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180005c50","SetRcvrChannelOutrate","undefined __fastcall SetRcvrChannelOutrate(int param_1, uint param_2, uint param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180005f50","SetXmtrChannelOutrate","undefined __fastcall SetXmtrChannelOutrate(int param_1, int param_2, uint param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800063d0","SetAntiVOXSourceStates","undefined __fastcall SetAntiVOXSourceStates(int param_1, uint param_2, uint param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180006400","SetAntiVOXSourceWhat","undefined __fastcall SetAntiVOXSourceWhat(int param_1, uint param_2, int param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180006440","FUN_180006440","undefined __fastcall FUN_180006440(int param_1, longlong param_2, int param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800067d0","CM_WaterfallIQ_Init","undefined __fastcall CM_WaterfallIQ_Init(uint param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800068d0","CM_WaterfallIQ_SetEnabled","undefined __fastcall CM_WaterfallIQ_SetEnabled(uint param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180006900","CM_WaterfallIQ_Free","undefined __fastcall CM_WaterfallIQ_Free(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180006970","CM_WaterfallIQ_Available","int __fastcall CM_WaterfallIQ_Available(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800069b0","CM_WaterfallIQ_Get","int __fastcall CM_WaterfallIQ_Get(uint param_1, longlong param_2, longlong param_3, int param_4)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180006c50","CM_WaterfallIQ_DroppedSamples","int __fastcall CM_WaterfallIQ_DroppedSamples(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180006c80","CM_WaterfallIQ_ResetDropped","undefined __fastcall CM_WaterfallIQ_ResetDropped(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180006cb0","FUN_180006cb0","undefined __fastcall FUN_180006cb0(undefined8 param_1, undefined8 param_2, undefined8 param_3, undefined8 param_4)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180006d00","Inbound","undefined __fastcall Inbound(uint param_1, int param_2, void * param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180006f20","FUN_180006f20","undefined __fastcall FUN_180006f20(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800070f0","SetRadioStructure","undefined __fastcall SetRadioStructure(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, int param_5, void * param_6, void * param_7, undefined4 param_8, undefined4 param_9, undefined4 param_10)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180007160","set_cmdefault_rates","undefined __fastcall set_cmdefault_rates(longlong param_1, int param_2, longlong param_3, longlong param_4)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180007280","CreateRadio","undefined __fastcall CreateRadio(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800072d0","DestroyRadio","undefined __fastcall DestroyRadio(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180007470","getbuffsize","int __fastcall getbuffsize(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180007490","getInputRate","undefined4 __fastcall getInputRate(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180007500","getChannelOutputRate","undefined4 __fastcall getChannelOutputRate(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180007540","chid","int __fastcall chid(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180007580","inid","int __fastcall inid(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800075c0","SetILVRun","undefined __fastcall SetILVRun(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800075f0","SetILVWhat","undefined __fastcall SetILVWhat(int param_1, uint param_2, int param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180007620","SetILVInsize","undefined __fastcall SetILVInsize(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180007640","SetILVOutboundId","undefined __fastcall SetILVOutboundId(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180007660","FUN_180007660","undefined __fastcall FUN_180007660(undefined8 param_1, undefined8 param_2, undefined8 param_3, undefined8 param_4)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800076c0","FUN_1800076c0","undefined __fastcall FUN_1800076c0(longlong param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800077f0","create_ivac","undefined __fastcall create_ivac(int param_1, undefined4 param_2, undefined8 param_3, undefined8 param_4, undefined4 param_5, undefined4 param_6, undefined4 param_7, undefined4 param_8, undefined4 param_9, undefined4 param_10, undefined4 param_11, undefined4 param_12, undefined4 param_13, undefined4 param_14)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800079b0","destroy_ivac","undefined __fastcall destroy_ivac(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180007a20","xvacIN","undefined __fastcall xvacIN(int param_1, longlong param_2, int param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180007bc0","xvacOUT","undefined __fastcall xvacOUT(int param_1, int param_2, void * param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180007c50","FUN_180007c50","undefined8 __fastcall FUN_180007c50(longlong param_1, longlong param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180007e90","StartAudioIVAC","undefined4 __fastcall StartAudioIVAC(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800080c0","_guard_check_icall","undefined __fastcall _guard_check_icall(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800080d0","StopAudioIVAC","undefined __fastcall StopAudioIVAC(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800080f0","SetIVACrun","undefined __fastcall SetIVACrun(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008110","SetIVACiqType","undefined __fastcall SetIVACiqType(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800081b0","SetIVACstereo","undefined __fastcall SetIVACstereo(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800081d0","SetIVACvacRate","undefined __fastcall SetIVACvacRate(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008270","SetIVACmicRate","undefined __fastcall SetIVACmicRate(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008310","SetIVACaudioRate","undefined __fastcall SetIVACaudioRate(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008430","FUN_180008430","undefined __fastcall FUN_180008430(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008510","SetIVACvacSize","undefined __fastcall SetIVACvacSize(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800085b0","SetIVACmicSize","undefined __fastcall SetIVACmicSize(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008650","SetIVACiqSizeAndRate","undefined __fastcall SetIVACiqSizeAndRate(int param_1, int param_2, int param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800086f0","SetIVACaudioSize","undefined __fastcall SetIVACaudioSize(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008800","SetIVAChostAPIindex","undefined __fastcall SetIVAChostAPIindex(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008820","SetIVACinputDEVindex","undefined __fastcall SetIVACinputDEVindex(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008840","SetIVACoutputDEVindex","undefined __fastcall SetIVACoutputDEVindex(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008860","SetIVACnumChannels","undefined __fastcall SetIVACnumChannels(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008880","SetIVACInLatency","undefined __fastcall SetIVACInLatency(int param_1, double param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008930","SetIVACOutLatency","undefined __fastcall SetIVACOutLatency(int param_1, double param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800089e0","SetIVACPAInLatency","undefined __fastcall SetIVACPAInLatency(int param_1, double param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008a10","SetIVACPAOutLatency","undefined __fastcall SetIVACPAOutLatency(int param_1, double param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008a40","SetIVACvox","undefined __fastcall SetIVACvox(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008a60","SetIVACmox","undefined __fastcall SetIVACmox(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008b30","SetIVACmon","undefined __fastcall SetIVACmon(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008c00","SetIVACmonVol","undefined __fastcall SetIVACmonVol(int param_1, double param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008c80","SetIVACpreamp","undefined __fastcall SetIVACpreamp(int param_1, undefined8 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008ca0","SetIVACrxscale","undefined __fastcall SetIVACrxscale(int param_1, double param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008cd0","SetIVACbypass","undefined __fastcall SetIVACbypass(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008cf0","SetIVACcombine","undefined __fastcall SetIVACcombine(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008d10","getIVACdiags","undefined __fastcall getIVACdiags(int param_1, int param_2, undefined8 param_3, undefined8 param_4, undefined8 param_5, undefined8 param_6, undefined8 param_7)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008d70","forceIVACvar","undefined __fastcall forceIVACvar(int param_1, int param_2, undefined4 param_3, undefined8 param_4)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008dc0","resetIVACdiags","undefined __fastcall resetIVACdiags(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008e30","SetIVACFeedbackGain","undefined __fastcall SetIVACFeedbackGain(int param_1, int param_2, undefined4 param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008ea0","SetIVACSlewTime","undefined __fastcall SetIVACSlewTime(int param_1, int param_2, undefined4 param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008f10","SetIVACPropRingMin","undefined __fastcall SetIVACPropRingMin(int param_1, int param_2, undefined4 param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008f80","SetIVACPropRingMax","undefined __fastcall SetIVACPropRingMax(int param_1, int param_2, undefined4 param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180008ff0","SetIVACFFRingMin","undefined __fastcall SetIVACFFRingMin(int param_1, int param_2, undefined4 param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009060","SetIVACFFRingMax","undefined __fastcall SetIVACFFRingMax(int param_1, int param_2, undefined4 param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800090d0","SetIVACFFAlpha","undefined __fastcall SetIVACFFAlpha(int param_1, int param_2, undefined4 param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009140","GetIVACControlFlag","undefined __fastcall GetIVACControlFlag(int param_1, int param_2, undefined8 param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009170","SetIVACinitialVars","undefined __fastcall SetIVACinitialVars(int param_1, double param_2, double param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009230","SetIVACswapIQout","undefined __fastcall SetIVACswapIQout(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009250","SetIVACExclusiveOut","undefined __fastcall SetIVACExclusiveOut(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009270","SetIVACExclusiveIn","undefined __fastcall SetIVACExclusiveIn(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009290","StartAudioNative","undefined8 __fastcall StartAudioNative(undefined8 param_1, undefined8 param_2, char * param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800096e0","StopAudio","undefined __fastcall StopAudio(undefined8 param_1, undefined8 param_2, undefined8 param_3, undefined8 param_4)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800098d0","nativeGetDotDashPTT","uint __fastcall nativeGetDotDashPTT(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800098f0","getAndResetADC_Overload","uint __fastcall getAndResetADC_Overload(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009940","getAndResetADCmaxMagnitudeAtOverload","undefined2 __fastcall getAndResetADCmaxMagnitudeAtOverload(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009990","getADCmaxMagnitude","undefined2 __fastcall getADCmaxMagnitude(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800099d0","getOOO","undefined __fastcall getOOO(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009ab0","getSeqInDelta","bool __fastcall getSeqInDelta(int param_1, int param_2, undefined8 * param_3, undefined4 * param_4, undefined4 * param_5, undefined4 * param_6)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009bf0","GetPLLLock","uint __fastcall GetPLLLock(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009c10","getUserI01","uint __fastcall getUserI01(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009c30","getUserI02","uint __fastcall getUserI02(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009c50","getUserI03","uint __fastcall getUserI03(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009c70","getUserI04","uint __fastcall getUserI04(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009c90","getUserI02_p2","uint __fastcall getUserI02_p2(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009cb0","getExciterPower","undefined4 __fastcall getExciterPower(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009cc0","getFwdPower","undefined4 __fastcall getFwdPower(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009cd0","getRevPower","undefined4 __fastcall getRevPower(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009ce0","getUserADC0","undefined4 __fastcall getUserADC0(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009cf0","getUserADC1","undefined4 __fastcall getUserADC1(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009d00","getUserADC2","undefined4 __fastcall getUserADC2(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009d10","getUserADC3","undefined4 __fastcall getUserADC3(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009d20","getHermesDCVoltage","undefined4 __fastcall getHermesDCVoltage(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009d30","SetPttOut","undefined __fastcall SetPttOut(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009d70","SetTRXrelay","undefined __fastcall SetTRXrelay(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009e00","EnableEClassModulation","undefined __fastcall EnableEClassModulation(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009e40","SetOCBits","undefined __fastcall SetOCBits(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009e70","SetOCExtraBits","undefined __fastcall SetOCExtraBits(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009ea0","SetAlexAtten","undefined __fastcall SetAlexAtten(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009f10","SetADCDither","undefined __fastcall SetADCDither(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009f40","SetADCRandom","undefined __fastcall SetADCRandom(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180009f70","SetAntBits","undefined __fastcall SetAntBits(uint param_1, uint param_2, uint param_3, byte param_4, char param_5)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a0f0","SetVFOfreq","undefined __fastcall SetVFOfreq(int param_1, int param_2, int param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a170","SetOutputPowerFactor","undefined __fastcall SetOutputPowerFactor(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a1a0","SetMicBoost","undefined __fastcall SetMicBoost(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a1e0","SetMicXlr","undefined __fastcall SetMicXlr(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a220","SetAudio24","undefined __fastcall SetAudio24(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a260","SetLineIn","undefined __fastcall SetLineIn(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a2a0","EnableApolloFilter","undefined __fastcall EnableApolloFilter(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a2b0","EnableApolloTuner","undefined __fastcall EnableApolloTuner(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a2c0","EnableApolloAutoTune","undefined __fastcall EnableApolloAutoTune(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a2d0","SelectApolloFilter","undefined __fastcall SelectApolloFilter(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a2e0","SetAlexHPFBits","undefined __fastcall SetAlexHPFBits(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a3c0","DisablePA","undefined __fastcall DisablePA(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a3f0","SetAlex2HPFBits","undefined __fastcall SetAlex2HPFBits(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a4d0","SetBPF2Gnd","undefined __fastcall SetBPF2Gnd(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a510","SetAlexLPFBits","undefined __fastcall SetAlexLPFBits(uint param_1, char param_2, char param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a760","SetRX1Preamp","undefined __fastcall SetRX1Preamp(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a790","SetRX2Preamp","undefined __fastcall SetRX2Preamp(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a7c0","SetMicTipRing","undefined __fastcall SetMicTipRing(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a800","SetMicBias","undefined __fastcall SetMicBias(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a840","SetMicPTT","undefined __fastcall SetMicPTT(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a880","SetLineBoost","undefined __fastcall SetLineBoost(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a8b0","SetPureSignal","undefined __fastcall SetPureSignal(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a8d0","SetUserOut0","undefined __fastcall SetUserOut0(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a8f0","SetUserOut1","undefined __fastcall SetUserOut1(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a910","SetUserOut2","undefined __fastcall SetUserOut2(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a930","SetUserOut3","undefined __fastcall SetUserOut3(uint param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a950","SetADC1StepAttenData","undefined __fastcall SetADC1StepAttenData(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"18000a980","SetADC2StepAttenData","undefined __fastcall SetADC2StepAttenData(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
