"path","size","sha256","kind"
"rnnoise.dll","5768704","93194895caf2246d2bc94268c3cc3e822a2087de6ab6ffa202df49bc586181d5","native-pe"
"SharpDX.Desktop.dll","46080","924c87f90b87b36fbb6dee401431abf7e2ffcf767fb773eb72771ea85a8d3a19","managed-pe"
"SharpDX.Direct2D1.dll","495616","9f4b5e240cb42ce903082f81633bba0c781c1e684fd5903bc3915e3805b5e83e","managed-pe"
"SharpDX.Direct3D11.dll","283136","56f525e33494f4cd2a560a71cdf237303a3fb54a8fa44e1693eba35c9245c60a","managed-pe"
"SharpDX.dll","274944","a0af255ea4b09a8cdb995b8c6fd1075e46f098e23c2351c974e6ded9b8b620cf","managed-pe"
"SharpDX.DXGI.dll","148480","bc0243134c93c55ea105d0e9c2a43b6030e973290d0a061cf3a61986a2268a88","managed-pe"
"SharpDX.Mathematics.dll","215552","4c9615496970ea84320e2a6e99f8fb828e3c7790384df5585d93fc368885d94e","managed-pe"
"SkiaSharp.dll","747552","9e379211b9438087befe86e4a2392334193f34c7793430bac50ecc7e90d70af8","managed-pe"
"SkinsAPF/btnAPF_type-0.png","178","9b84a58fa6065d4903f761a361ed47b4222d584c3f5ded3bccf975f1f325f239","data"
"SkinsAPF/btnAPF_type-1.png","178","e020e570e3148619b7ee2a67267a3ae3bc887248e1aa5b4d9dc4a4cfce97eb9b","data"
"SkinsAPF/btnAPF_type-2.png","176","ad322cdd6999ff396b1c1beb8f884ba913c3d74dca16168ec1045628afa7f3fb","data"
"SkinsAPF/btnAPF_type-3.png","178","9b84a58fa6065d4903f761a361ed47b4222d584c3f5ded3bccf975f1f325f239","data"
"SkinsAPF/btnAPF_type-4.png","178","47cd6d2cf1af03af0e12a1ced97a1dee8db215211a1ccc4873800a4cfffdea30","data"
"SkinsAPF/btnAPF_type-5.png","178","4e362737862a5236123b94060bd10223310e9c82fef171320a863a71f4a46a7c","data"
"SkinsAPF/btnAPF_type-6.png","178","7630d998b8d5a2dfe9f9af6729cd6d07a82785358ab13596a5c539454ea6a98d","data"
"SkinsAPF/btnAPF_type-7.png","178","4e362737862a5236123b94060bd10223310e9c82fef171320a863a71f4a46a7c","data"
"specbleach.dll","41472","87fff608aeea613815457714af6c8cd1d1d0efb27c809959014d26d6dbed0700","native-pe"
"Svg.dll","687616","47780873fd8313c620ea5c5fae74a253d69507c5aef76e882db06b4a18c5ae45","managed-pe"
"System.Buffers.dll","23816","2d78d770c9cb997199154ae8c018b9f1d1efbc86729f7264dde6dbad2a12cac3","managed-pe"
"System.CodeDom.dll","34056","e733e2626089bb2a6b61891d73c8a331c908b41283e3fc9de90eb2cb911d8da8","managed-pe"
"System.Collections.Immutable.dll","253240","76027956c9a116dac74749b1bbe901a31bfb91bf6fa3be139dac20faedbd7a62","managed-pe"
"System.Drawing.Common.dll","49936","081e9102c7a296f63e6534195720587580d0cbc3b75647c416e8e1102d2a72bb","managed-pe"
"System.Formats.Nrbf.dll","71432","4d02deafd354c1ee34a92b4a38987db44c292331800bec1b8b243efb025caefb","managed-pe"
"System.Interactive.Async.dll","365520","399e17fea584ab79ed39f7a658e3d65d0be6c283761678b68ddee493e670d61b","managed-pe"
"System.Linq.Async.dll","1187792","a6bcc3b113c94ae909fb61a2e72ee78308a10e3108efe6f60e64881d9f24e479","managed-pe"
"System.Linq.AsyncEnumerable.dll","461064","23fcea8d204b86a3b19b560548421c38f69624863d5d199c33e5d0f091382c0a","managed-pe"
"System.Memory.dll","145200","d5e8e4866f9cfa66f7765660f84b210198893e55335487afe5ebda342c0e913d","managed-pe"
"System.Numerics.Vectors.dll","110344","20c2fa81b8c70d651099d762954f285fd4f942e63b2d7217c145dab8d4b2f4c9","managed-pe"
"System.Reactive.dll","1364432","e7da3097fd6c39018c38b9dc4dfe85005bde036cb01bec4b3bfcb007d64db7a0","managed-pe"
"System.Reflection.Metadata.dll","515336","501348d577e98123a8c4de88849b1b82b3f0d0157f325e060233fe03ff6eb790","managed-pe"
"System.Resources.Extensions.dll","116016","e32ed1de4104a122bf3deede49ab061e6c3bc04790c346b640cb0bc27133a2b4","managed-pe"
"System.Runtime.CompilerServices.Unsafe.dll","19256","08cbd7278b66f1e68425a82d4b97181a4130d93e3dd91831407aba7212ccdacf","managed-pe"
"System.Security.AccessControl.dll","37136","8e71e09c1a2706704333d3ad20e286ace441c8b512dd2dbb6dc69540daec54c8","managed-pe"
"System.Security.Principal.Windows.dll","18312","b4d8e15adc235d0e858e39b5133e5d00a4baa8c94f4f39e3b5e791b0f9c0c806","managed-pe"
"System.Text.Encoding.CodePages.dll","769840","7f06943836fd097bce2b90d5218f9fd4efa55fe851d8c84a5390544e7de7ff6d","managed-pe"
"System.Threading.Tasks.Extensions.dll","27960","af4e13ef418fd89b432de20cd1dfb7fa10a7179c8dd049c9856316e50c5949ca","managed-pe"
"Thetis manual.pdf","13829540","e834ac74a9a5d0e150bb4f5504bf7363c1043ea474aa3ead83282a1aa4e7b8d6","data"
"Thetis Network Settings_0.2.pdf","481718","d89f8ab34f6aed68128b7d9c4aff1575435771bbcde633fa18ca4f31a11f488b","data"
"Thetis-CAT-Command-Reference-Guide-V3.pdf","6506808","a893e3c24eea802804cabbe6d289a945a1935485b2cd2820f6ae9e9a2499dae7","data"
"Thetis.exe","10698752","e25bf32f10b1502c6d84dbb5423a41197117bab7904d03c7c945061ac71c7f76","managed-pe"
"Thetis.exe.config","4519","fd030de95907c67440352d221dd4f61b7a9766987c9ccc369f416fafdb31476e","data"
"waterfall_fft_bitreverse_cs.bin","2276","9c48f4a1de33e5bfeabf0751e7ec57836bcdd3c27d36081d9a3e49891a8cc554","binary"
"waterfall_fft_magnitude_cs.bin","12708","ee479ed292de6f12c2891e5ea42cd6dd482014bee33c8a1662a5bcfe5ae8a0eb","binary"
"waterfall_fft_stage_ab_cs.bin","2432","ef7a9ec2b92439b61a7a2a9396b8ed1094ea695626e878d3f794961a98ad7e96","binary"
"waterfall_fft_stage_ba_cs.bin","2432","c30527f7646b249aa99aa2080b76424b5dde4326270483c67881f5e27cf894a5","binary"
"waterfall_postproc.bin","2348","62680f4d53cc858f7231c6fd7f56e2033c71f7b58374b01d243a637bd4e30974","binary"
"waterfall_resolve_cs.bin","1348","177ecb3094e535fbbd6a3594767f0a272c4e1d913f2763abbb07249ce34ba171","binary"
"waterfall_row_cs.bin","6372","d607aabe134dc2345f16841ac6cc0e99df3129fa42afea29a2a265d1e9c03cc6","binary"
"wdsp.dll","5617664","4248ae115a62e2fb692ecdb4db3ceebb4c7ca6d789d703713161accfb84440cf","native-pe"
"WindowsFirewallHelper.dll","200704","ee82486413d69f4e69c75d6ffe11e0c764ad62f2ad7ded04f56028e5307f4ab6","managed-pe"
